timestamp,open,high,low,close,volume
2026-08-13 02:00:00+00:00,63456.1,63582.0,63380.0,63550.01,458.1649
2026-08-13 03:00:00+00:00,63550.01,63686.4,63514.21,63646.99,401.71819
2026-08-13 04:00:00+00:00,63647.0,63778.0,63591.56,63693.74,223.42484
2026-08-13 05:00:00+00:00,63693.73,64010.0,63671.64,63878.0,500.10882
2026-08-13 06:00:00+00:00,63878.01,63942.36,63757.47,63942.35,256.03719
2026-08-13 07:00:00+00:00,63942.36,63947.09,63856.13,63865.84,533.09585
2026-08-13 08:00:00+00:00,63865.84,63915.0,63742.0,63766.8,439.81868
2026-08-13 09:00:00+00:00,63766.8,63786.49,63587.99,63782.64,337.82326
2026-08-13 10:00:00+00:00,63782.65,63818.16,63586.0,63651.19,317.79982
2026-08-13 11:00:00+00:00,63651.2,63660.76,63350.0,63484.3,355.63538
2026-08-13 12:00:00+00:00,63484.31,63710.0,63450.0,63697.76,384.47294
2026-08-13 13:00:00+00:00,63697.76,63850.0,63566.0,63724.0,561.86509
2026-08-13 14:00:00+00:00,63723.99,63999.0,63686.0,63859.45,669.38212
2026-08-13 15:00:00+00:00,63859.46,63940.08,63420.0,63420.01,505.15868
2026-08-13 16:00:00+00:00,63420.01,63568.97,62802.27,63160.13,1752.37181
2026-08-13 17:00:00+00:00,63160.13,63294.61,63074.44,63144.38,644.48394
2026-08-13 18:00:00+00:00,63144.37,63369.63,63105.44,63310.0,325.89181
2026-08-13 19:00:00+00:00,63310.0,63519.39,63310.0,63407.99,349.14796
2026-08-13 20:00:00+00:00,63408.0,63474.34,63368.0,63415.55,239.68311
2026-08-13 21:00:00+00:00,63415.56,63500.0,63390.0,63474.0,188.33344
2026-08-13 22:00:00+00:00,63474.0,63640.0,63473.99,63530.01,226.97651
2026-08-13 23:00:00+00:00,63530.01,63539.03,63400.0,63490.86,397.80966
2026-08-14 00:00:00+00:00,63490.86,63552.99,63410.0,63541.45,377.80366
2026-08-14 01:00:00+00:00,63541.45,63585.92,63458.0,63575.86,310.91391
2026-08-14 02:00:00+00:00,63575.86,63617.45,63465.38,63465.39,489.39475
2026-08-14 03:00:00+00:00,63465.39,63576.0,63301.58,63310.0,296.84163
2026-08-14 04:00:00+00:00,63310.0,63472.5,63276.0,63372.56,530.66039
2026-08-14 05:00:00+00:00,63372.56,63400.3,63286.67,63379.83,201.71573
2026-08-14 06:00:00+00:00,63379.83,63379.83,62942.0,62974.14,627.73261
2026-08-14 07:00:00+00:00,62974.14,63110.0,62920.0,62920.78,730.23378
2026-08-14 08:00:00+00:00,62920.78,62997.83,62700.0,62940.01,892.48443
2026-08-14 09:00:00+00:00,62940.01,62940.01,62744.0,62792.75,501.14919
